From,To,Length(m),Azimuth(deg),Clino(deg)
615.20@cob-passage-off-salt-peter.Mountaineye,-,3.11,148.91,-13.84
615.20@cob-passage-off-salt-peter.Mountaineye,-,1.64,195.48,-43.90
615.20@cob-passage-off-salt-peter.Mountaineye,-,0.99,350.26,-30.86
615.20@cob-passage-off-salt-peter.Mountaineye,-,5.64,219.23,5.62
615.20@cob-passage-off-salt-peter.Mountaineye,-,8.18,228.48,3.79
615.20@cob-passage-off-salt-peter.Mountaineye,-,10.26,236.94,0.68
615.20@cob-passage-off-salt-peter.Mountaineye,-,10.05,251.88,3.45
615.20@cob-passage-off-salt-peter.Mountaineye,-,7.26,260.93,4.74
615.20@cob-passage-off-salt-peter.Mountaineye,-,3.23,285.53,9.94
615.20@cob-passage-off-salt-peter.Mountaineye,615.21@cob-passage-off-salt-peter.Mountaineye,10.36,62.22,-1.45
615.21@cob-passage-off-salt-peter.Mountaineye,-,1.50,324.94,3.96
615.21@cob-passage-off-salt-peter.Mountaineye,-,2.88,143.48,7.42
615.21@cob-passage-off-salt-peter.Mountaineye,-,2.18,122.71,64.49
615.21@cob-passage-off-salt-peter.Mountaineye,-,1.20,252.25,-64.00
615.21@cob-passage-off-salt-peter.Mountaineye,-,7.03,263.54,3.29
615.21@cob-passage-off-salt-peter.Mountaineye,-,11.63,228.92,2.10
615.21@cob-passage-off-salt-peter.Mountaineye,615.22@cob-passage-off-salt-peter.Mountaineye,12.01,50.30,-1.78
615.22@cob-passage-off-salt-peter.Mountaineye,-,3.31,255.79,3.35
615.22@cob-passage-off-salt-peter.Mountaineye,-,2.17,43.19,9.04
615.22@cob-passage-off-salt-peter.Mountaineye,-,1.88,62.63,78.24
615.22@cob-passage-off-salt-peter.Mountaineye,-,1.33,257.72,-68.24
615.22@cob-passage-off-salt-peter.Mountaineye,-,4.70,125.47,29.34
615.22@cob-passage-off-salt-peter.Mountaineye,-,4.51,155.86,23.36
615.22@cob-passage-off-salt-peter.Mountaineye,-,6.79,207.07,12.67
615.22@cob-passage-off-salt-peter.Mountaineye,-,3.58,255.05,4.54
615.22@cob-passage-off-salt-peter.Mountaineye,-,9.93,237.55,3.24
615.22@cob-passage-off-salt-peter.Mountaineye,-,1.52,344.32,-42.19
615.22@cob-passage-off-salt-peter.Mountaineye,615.23@cob-passage-off-salt-peter.Mountaineye,2.58,306.31,-23.80
615.23@cob-passage-off-salt-peter.Mountaineye,-,2.59,251.78,4.20
615.23@cob-passage-off-salt-peter.Mountaineye,-,3.00,35.91,10.70
615.23@cob-passage-off-salt-peter.Mountaineye,-,0.59,345.33,-74.75
615.23@cob-passage-off-salt-peter.Mountaineye,-,1.28,171.89,79.65
615.23@cob-passage-off-salt-peter.Mountaineye,-,0.37,303.24,76.06
615.23@cob-passage-off-salt-peter.Mountaineye,615.24@cob-passage-off-salt-peter.Mountaineye,5.49,302.09,-3.93
615.24@cob-passage-off-salt-peter.Mountaineye,-,0.81,206.92,-15.44
615.24@cob-passage-off-salt-peter.Mountaineye,-,1.89,200.63,2.15
615.24@cob-passage-off-salt-peter.Mountaineye,-,2.13,204.05,13.40
615.24@cob-passage-off-salt-peter.Mountaineye,-,0.87,208.58,32.01
615.24@cob-passage-off-salt-peter.Mountaineye,-,1.20,18.38,31.73
615.24@cob-passage-off-salt-peter.Mountaineye,-,2.79,15.93,5.03
615.24@cob-passage-off-salt-peter.Mountaineye,-,1.89,13.28,-7.92
615.24@cob-passage-off-salt-peter.Mountaineye,-,0.49,6.20,-28.91
615.24@cob-passage-off-salt-peter.Mountaineye,-,2.68,232.30,6.65
615.24@cob-passage-off-salt-peter.Mountaineye,-,5.01,310.34,3.13
615.24@cob-passage-off-salt-peter.Mountaineye,-,3.28,278.58,3.69
615.24@cob-passage-off-salt-peter.Mountaineye,615.25@cob-passage-off-salt-peter.Mountaineye,4.35,269.72,4.70
615.25@cob-passage-off-salt-peter.Mountaineye,-,1.45,184.46,10.42
615.25@cob-passage-off-salt-peter.Mountaineye,-,0.63,193.01,89.06
615.25@cob-passage-off-salt-peter.Mountaineye,-,0.19,197.60,-68.46
615.25@cob-passage-off-salt-peter.Mountaineye,-,2.79,347.37,10.95
615.25@cob-passage-off-salt-peter.Mountaineye,615.26@cob-passage-off-salt-peter.Mountaineye,2.71,267.64,5.79
615.26@cob-passage-off-salt-peter.Mountaineye,-,2.49,19.98,2.63
615.26@cob-passage-off-salt-peter.Mountaineye,-,0.89,176.24,-10.22
615.26@cob-passage-off-salt-peter.Mountaineye,-,0.30,306.15,72.97
615.26@cob-passage-off-salt-peter.Mountaineye,-,0.43,120.73,-81.65
615.26@cob-passage-off-salt-peter.Mountaineye,615.27@cob-passage-off-salt-peter.Mountaineye,3.73,270.69,-5.35
615.27@cob-passage-off-salt-peter.Mountaineye,-,0.84,170.62,2.68
615.27@cob-passage-off-salt-peter.Mountaineye,-,0.16,213.45,84.53
615.27@cob-passage-off-salt-peter.Mountaineye,-,0.33,103.45,-83.41
615.27@cob-passage-off-salt-peter.Mountaineye,-,1.23,325.98,-0.15
615.27@cob-passage-off-salt-peter.Mountaineye,-,3.05,266.01,0.13
615.27@cob-passage-off-salt-peter.Mountaineye,-,2.44,246.08,-4.19
615.17@cob-passage-off-salt-peter.Mountaineye,615.28@cob-passage-off-salt-peter.Mountaineye,5.76,266.58,7.75
615.28@cob-passage-off-salt-peter.Mountaineye,-,1.14,356.42,6.27
615.28@cob-passage-off-salt-peter.Mountaineye,-,1.18,145.17,13.98
615.28@cob-passage-off-salt-peter.Mountaineye,-,1.52,163.94,13.77
615.28@cob-passage-off-salt-peter.Mountaineye,-,1.39,228.77,9.26
615.28@cob-passage-off-salt-peter.Mountaineye,-,3.01,210.19,5.61
615.28@cob-passage-off-salt-peter.Mountaineye,615.29@cob-passage-off-salt-peter.Mountaineye,4.75,189.52,1.29
615.29@cob-passage-off-salt-peter.Mountaineye,-,0.89,283.86,8.96
615.29@cob-passage-off-salt-peter.Mountaineye,-,1.25,189.11,7.36
615.29@cob-passage-off-salt-peter.Mountaineye,-,0.81,232.56,82.78
615.29@cob-passage-off-salt-peter.Mountaineye,-,0.34,190.35,-52.77
615.29@cob-passage-off-salt-peter.Mountaineye,-,1.76,118.45,6.08
615.29@cob-passage-off-salt-peter.Mountaineye,-,1.49,70.06,5.44
615.29@cob-passage-off-salt-peter.Mountaineye,615.30@cob-passage-off-salt-peter.Mountaineye,2.93,80.08,-4.33
615.30@cob-passage-off-salt-peter.Mountaineye,-,1.07,357.22,10.01
615.30@cob-passage-off-salt-peter.Mountaineye,-,1.49,182.50,14.25
615.30@cob-passage-off-salt-peter.Mountaineye,-,2.47,65.64,-78.24
615.30@cob-passage-off-salt-peter.Mountaineye,-,1.03,155.60,66.05
615.16@cob-passage-off-salt-peter.Mountaineye,615.31@cob-passage-off-salt-peter.Mountaineye,6.13,32.15,7.37
615.31@cob-passage-off-salt-peter.Mountaineye,615.32@cob-passage-off-salt-peter.Mountaineye,1.15,92.11,20.46
615.32@cob-passage-off-salt-peter.Mountaineye,-,0.51,321.70,21.60
615.32@cob-passage-off-salt-peter.Mountaineye,-,0.25,117.97,43.58
615.32@cob-passage-off-salt-peter.Mountaineye,-,0.76,23.29,76.03
615.32@cob-passage-off-salt-peter.Mountaineye,-,0.41,328.16,-60.23
615.32@cob-passage-off-salt-peter.Mountaineye,615.33@cob-passage-off-salt-peter.Mountaineye,1.95,52.57,8.04
615.33@cob-passage-off-salt-peter.Mountaineye,-,0.39,152.87,12.38
615.33@cob-passage-off-salt-peter.Mountaineye,-,0.72,128.31,73.08
615.33@cob-passage-off-salt-peter.Mountaineye,-,0.82,115.89,-71.70
615.33@cob-passage-off-salt-peter.Mountaineye,615.34@cob-passage-off-salt-peter.Mountaineye,1.43,81.15,-0.62
615.34@cob-passage-off-salt-peter.Mountaineye,-,0.44,351.66,2.80
615.34@cob-passage-off-salt-peter.Mountaineye,-,0.65,58.90,-75.21
615.34@cob-passage-off-salt-peter.Mountaineye,-,0.47,20.51,66.15
615.34@cob-passage-off-salt-peter.Mountaineye,615.35@cob-passage-off-salt-peter.Mountaineye,3.51,64.46,12.44
615.35@cob-passage-off-salt-peter.Mountaineye,-,0.35,336.48,4.97
615.35@cob-passage-off-salt-peter.Mountaineye,-,0.51,23.43,-64.10
615.35@cob-passage-off-salt-peter.Mountaineye,-,1.02,350.20,74.48
615.35@cob-passage-off-salt-peter.Mountaineye,-,2.05,55.71,25.66
615.35@cob-passage-off-salt-peter.Mountaineye,615.36@cob-passage-off-salt-peter.Mountaineye,1.97,49.90,24.25
615.36@cob-passage-off-salt-peter.Mountaineye,-,0.25,310.93,2.61
615.36@cob-passage-off-salt-peter.Mountaineye,-,0.95,46.72,-76.30
615.36@cob-passage-off-salt-peter.Mountaineye,-,0.94,19.13,-81.35
615.36@cob-passage-off-salt-peter.Mountaineye,-,0.24,136.25,-10.61
615.36@cob-passage-off-salt-peter.Mountaineye,615.37@cob-passage-off-salt-peter.Mountaineye,2.36,45.09,-3.57
615.37@cob-passage-off-salt-peter.Mountaineye,-,0.39,166.64,5.16
615.37@cob-passage-off-salt-peter.Mountaineye,-,0.34,161.50,63.01
615.37@cob-passage-off-salt-peter.Mountaineye,-,0.36,167.94,-88.47
615.37@cob-passage-off-salt-peter.Mountaineye,-,1.76,106.07,3.74
615.37@cob-passage-off-salt-peter.Mountaineye,615.38@cob-passage-off-salt-peter.Mountaineye,1.75,105.25,4.69
615.38@cob-passage-off-salt-peter.Mountaineye,-,0.20,348.24,8.77
615.38@cob-passage-off-salt-peter.Mountaineye,-,0.71,329.22,81.40
615.38@cob-passage-off-salt-peter.Mountaineye,-,0.41,45.80,-70.10
615.38@cob-passage-off-salt-peter.Mountaineye,615.39@cob-passage-off-salt-peter.Mountaineye,2.28,51.07,14.20
615.39@cob-passage-off-salt-peter.Mountaineye,-,0.50,118.03,80.07
615.39@cob-passage-off-salt-peter.Mountaineye,-,0.23,143.06,2.36
615.39@cob-passage-off-salt-peter.Mountaineye,-,0.16,325.02,8.97
615.39@cob-passage-off-salt-peter.Mountaineye,-,0.84,271.35,-75.67
615.12@cob-passage-off-salt-peter.Mountaineye,615.40@cob-passage-off-salt-peter.Mountaineye,4.48,100.43,38.96
615.40@cob-passage-off-salt-peter.Mountaineye,-,0.66,1.15,28.32
615.40@cob-passage-off-salt-peter.Mountaineye,-,0.48,188.95,48.86
615.40@cob-passage-off-salt-peter.Mountaineye,615.41@cob-passage-off-salt-peter.Mountaineye,2.24,90.31,37.50
615.41@cob-passage-off-salt-peter.Mountaineye,-,0.75,291.11,-72.61
615.41@cob-passage-off-salt-peter.Mountaineye,-,0.72,20.01,77.46
615.41@cob-passage-off-salt-peter.Mountaineye,-,1.83,297.99,2.66
615.41@cob-passage-off-salt-peter.Mountaineye,-,2.82,11.94,4.44
615.41@cob-passage-off-salt-peter.Mountaineye,-,5.62,40.58,4.00
615.41@cob-passage-off-salt-peter.Mountaineye,-,8.18,175.91,4.09
615.41@cob-passage-off-salt-peter.Mountaineye,-,7.50,193.01,2.94
615.41@cob-passage-off-salt-peter.Mountaineye,-,8.68,166.83,4.37
615.41@cob-passage-off-salt-peter.Mountaineye,-,1.72,151.39,9.57
615.41@cob-passage-off-salt-peter.Mountaineye,-,6.20,40.35,4.42
615.41@cob-passage-off-salt-peter.Mountaineye,-,5.59,39.92,4.66
615.41@cob-passage-off-salt-peter.Mountaineye,-,4.45,205.41,9.65
615.41@cob-passage-off-salt-peter.Mountaineye,-,3.48,183.22,18.13
615.41@cob-passage-off-salt-peter.Mountaineye,615.42@cob-passage-off-salt-peter.Mountaineye,5.59,40.19,4.44
615.42@cob-passage-off-salt-peter.Mountaineye,-,4.01,99.96,24.57
615.42@cob-passage-off-salt-peter.Mountaineye,-,2.43,131.81,21.23
615.42@cob-passage-off-salt-peter.Mountaineye,-,3.08,153.77,24.25
615.7@cob-passage-off-salt-peter.Mountaineye,615.43@cob-passage-off-salt-peter.Mountaineye,6.30,0.76,26.99
615.43@cob-passage-off-salt-peter.Mountaineye,-,6.55,123.31,74.97
615.43@cob-passage-off-salt-peter.Mountaineye,-,1.55,179.60,-68.57
615.43@cob-passage-off-salt-peter.Mountaineye,-,1.12,236.70,6.81
615.43@cob-passage-off-salt-peter.Mountaineye,-,0.89,351.39,45.25
615.43@cob-passage-off-salt-peter.Mountaineye,-,2.32,69.14,58.18
615.43@cob-passage-off-salt-peter.Mountaineye,-,2.99,106.44,51.30
615.43@cob-passage-off-salt-peter.Mountaineye,-,3.95,133.24,40.39
615.43@cob-passage-off-salt-peter.Mountaineye,-,6.63,162.81,27.86
615.43@cob-passage-off-salt-peter.Mountaineye,-,6.08,186.18,19.48
615.43@cob-passage-off-salt-peter.Mountaineye,-,1.49,201.26,17.39
615.43@cob-passage-off-salt-peter.Mountaineye,615.44@cob-passage-off-salt-peter.Mountaineye,3.97,297.28,17.55
615.44@cob-passage-off-salt-peter.Mountaineye,-,1.70,66.73,-2.38
615.44@cob-passage-off-salt-peter.Mountaineye,-,4.79,48.59,80.88
615.44@cob-passage-off-salt-peter.Mountaineye,-,0.43,94.21,-79.16
615.44@cob-passage-off-salt-peter.Mountaineye,615.45@cob-passage-off-salt-peter.Mountaineye,5.39,357.86,25.99
615.45@cob-passage-off-salt-peter.Mountaineye,-,1.32,136.80,-2.36
615.45@cob-passage-off-salt-peter.Mountaineye,-,2.72,163.34,60.18
615.45@cob-passage-off-salt-peter.Mountaineye,-,1.98,198.85,4.19
615.45@cob-passage-off-salt-peter.Mountaineye,-,3.20,73.09,3.17
615.45@cob-passage-off-salt-peter.Mountaineye,-,6.04,58.09,5.74
615.45@cob-passage-off-salt-peter.Mountaineye,-,8.03,62.18,0.85
615.45@cob-passage-off-salt-peter.Mountaineye,615.46@cob-passage-off-salt-peter.Mountaineye,11.30,59.45,0.67
615.46@cob-passage-off-salt-peter.Mountaineye,-,0.76,332.70,-9.51
615.46@cob-passage-off-salt-peter.Mountaineye,-,2.19,312.78,75.73
615.46@cob-passage-off-salt-peter.Mountaineye,-,1.70,346.99,-70.61
615.46@cob-passage-off-salt-peter.Mountaineye,-,2.26,342.69,81.78
615.46@cob-passage-off-salt-peter.Mountaineye,-,2.04,328.86,67.32
615.46@cob-passage-off-salt-peter.Mountaineye,-,1.07,319.75,26.03
615.46@cob-passage-off-salt-peter.Mountaineye,-,0.81,325.56,-0.37
615.46@cob-passage-off-salt-peter.Mountaineye,-,1.23,339.05,-43.93
615.46@cob-passage-off-salt-peter.Mountaineye,-,1.91,340.98,-56.95
615.46@cob-passage-off-salt-peter.Mountaineye,-,1.48,33.23,-27.38
615.46@cob-passage-off-salt-peter.Mountaineye,-,7.79,49.40,-5.56
615.46@cob-passage-off-salt-peter.Mountaineye,-,3.67,53.59,-2.07
615.46@cob-passage-off-salt-peter.Mountaineye,615.47@cob-passage-off-salt-peter.Mountaineye,11.89,53.11,-9.38
615.47@cob-passage-off-salt-peter.Mountaineye,-,1.06,162.32,4.71
615.47@cob-passage-off-salt-peter.Mountaineye,-,3.76,132.51,78.59
615.47@cob-passage-off-salt-peter.Mountaineye,-,1.14,145.30,-81.64
615.47@cob-passage-off-salt-peter.Mountaineye,-,2.61,75.15,4.71
615.47@cob-passage-off-salt-peter.Mountaineye,-,5.13,68.18,4.24
615.47@cob-passage-off-salt-peter.Mountaineye,-,2.87,62.82,6.19
615.47@cob-passage-off-salt-peter.Mountaineye,-,8.06,65.43,1.49
615.47@cob-passage-off-salt-peter.Mountaineye,-,8.17,65.48,1.48
615.47@cob-passage-off-salt-peter.Mountaineye,-,7.65,65.53,1.49
615.47@cob-passage-off-salt-peter.Mountaineye,615.48@cob-passage-off-salt-peter.Mountaineye,7.10,67.40,-2.28
615.48@cob-passage-off-salt-peter.Mountaineye,-,3.54,329.15,8.44
615.48@cob-passage-off-salt-peter.Mountaineye,-,4.08,329.10,80.47
615.48@cob-passage-off-salt-peter.Mountaineye,-,2.05,328.16,56.28
615.48@cob-passage-off-salt-peter.Mountaineye,-,0.67,262.32,-68.71
615.48@cob-passage-off-salt-peter.Mountaineye,615.49@cob-passage-off-salt-peter.Mountaineye,10.30,47.00,-14.79
615.49@cob-passage-off-salt-peter.Mountaineye,-,2.29,146.49,4.98
615.49@cob-passage-off-salt-peter.Mountaineye,-,2.96,146.33,25.09
615.49@cob-passage-off-salt-peter.Mountaineye,-,4.25,143.51,50.83
615.49@cob-passage-off-salt-peter.Mountaineye,-,5.39,140.31,61.31
615.49@cob-passage-off-salt-peter.Mountaineye,-,4.42,139.61,63.25
615.49@cob-passage-off-salt-peter.Mountaineye,-,4.04,132.29,76.20
615.49@cob-passage-off-salt-peter.Mountaineye,-,3.82,290.42,79.54
615.49@cob-passage-off-salt-peter.Mountaineye,-,3.44,316.49,70.31
615.49@cob-passage-off-salt-peter.Mountaineye,-,3.22,320.24,57.07
615.49@cob-passage-off-salt-peter.Mountaineye,-,2.44,317.79,36.62
615.49@cob-passage-off-salt-peter.Mountaineye,-,2.12,323.34,2.63
615.49@cob-passage-off-salt-peter.Mountaineye,-,0.74,323.27,-10.14
615.49@cob-passage-off-salt-peter.Mountaineye,-,5.26,260.98,22.68
615.49@cob-passage-off-salt-peter.Mountaineye,-,10.59,250.48,12.71
615.49@cob-passage-off-salt-peter.Mountaineye,-,9.30,226.11,16.12
615.49@cob-passage-off-salt-peter.Mountaineye,-,3.68,194.00,26.06
615.49@cob-passage-off-salt-peter.Mountaineye,-,3.23,136.38,30.80
615.49@cob-passage-off-salt-peter.Mountaineye,-,8.12,85.94,13.79
615.49@cob-passage-off-salt-peter.Mountaineye,615.50@cob-passage-off-salt-peter.Mountaineye,5.97,54.83,7.22
615.50@cob-passage-off-salt-peter.Mountaineye,-,5.01,112.09,10.62
615.50@cob-passage-off-salt-peter.Mountaineye,-,11.72,79.09,3.27
615.50@cob-passage-off-salt-peter.Mountaineye,-,6.32,51.77,4.31
615.50@cob-passage-off-salt-peter.Mountaineye,-,1.84,17.06,16.64
615.50@cob-passage-off-salt-peter.Mountaineye,615.51@cob-passage-off-salt-peter.Mountaineye,17.48,62.36,-1.00
615.51@cob-passage-off-salt-peter.Mountaineye,-,2.21,203.04,79.40
615.51@cob-passage-off-salt-peter.Mountaineye,-,0.60,184.62,-83.64
615.51@cob-passage-off-salt-peter.Mountaineye,-,2.21,198.73,-50.79
615.51@cob-passage-off-salt-peter.Mountaineye,-,3.54,165.47,14.61
615.51@cob-passage-off-salt-peter.Mountaineye,-,5.13,199.11,5.26
615.51@cob-passage-off-salt-peter.Mountaineye,-,8.29,253.91,6.14
615.51@cob-passage-off-salt-peter.Mountaineye,-,6.71,284.69,13.18
615.51@cob-passage-off-salt-peter.Mountaineye,-,5.09,316.76,16.45
615.51@cob-passage-off-salt-peter.Mountaineye,-,4.82,324.56,14.16
615.51@cob-passage-off-salt-peter.Mountaineye,-,7.01,20.87,42.62
615.51@cob-passage-off-salt-peter.Mountaineye,-,5.88,49.11,33.23
615.51@cob-passage-off-salt-peter.Mountaineye,-,6.61,73.51,25.85
615.51@cob-passage-off-salt-peter.Mountaineye,-,7.25,97.34,5.39
615.51@cob-passage-off-salt-peter.Mountaineye,-,8.17,99.94,4.66
615.51@cob-passage-off-salt-peter.Mountaineye,615.52@cob-passage-off-salt-peter.Mountaineye,7.58,102.22,-5.70
615.52@cob-passage-off-salt-peter.Mountaineye,-,1.10,22.04,21.89
615.52@cob-passage-off-salt-peter.Mountaineye,-,1.73,48.39,15.01
615.52@cob-passage-off-salt-peter.Mountaineye,-,1.29,68.98,0.97
615.52@cob-passage-off-salt-peter.Mountaineye,-,0.40,78.99,-0.32
615.52@cob-passage-off-salt-peter.Mountaineye,-,2.24,255.04,3.98
615.52@cob-passage-off-salt-peter.Mountaineye,-,3.11,266.73,3.85
615.51@cob-passage-off-salt-peter.Mountaineye,615.53@cob-passage-off-salt-peter.Mountaineye,3.56,10.71,58.09
615.53@cob-passage-off-salt-peter.Mountaineye,-,5.91,89.49,-10.16
615.53@cob-passage-off-salt-peter.Mountaineye,-,3.87,32.60,-5.83
615.53@cob-passage-off-salt-peter.Mountaineye,-,4.33,13.15,-4.99
615.53@cob-passage-off-salt-peter.Mountaineye,-,3.01,317.85,2.88
615.53@cob-passage-off-salt-peter.Mountaineye,615.54@cob-passage-off-salt-peter.Mountaineye,10.86,15.41,18.67
615.54@cob-passage-off-salt-peter.Mountaineye,-,1.73,159.66,-1.16
615.54@cob-passage-off-salt-peter.Mountaineye,-,1.35,170.01,-79.63
615.54@cob-passage-off-salt-peter.Mountaineye,-,3.75,162.06,69.91
615.54@cob-passage-off-salt-peter.Mountaineye,-,2.89,197.55,-47.60
615.54@cob-passage-off-salt-peter.Mountaineye,-,5.34,200.85,-37.85
615.54@cob-passage-off-salt-peter.Mountaineye,-,3.18,220.05,-33.26
615.54@cob-passage-off-salt-peter.Mountaineye,-,5.48,191.68,-34.36
615.54@cob-passage-off-salt-peter.Mountaineye,-,1.72,154.89,-7.51
615.54@cob-passage-off-salt-peter.Mountaineye,615.55@cob-passage-off-salt-peter.Mountaineye,2.91,86.33,27.25
615.55@cob-passage-off-salt-peter.Mountaineye,-,0.32,330.45,6.80
615.55@cob-passage-off-salt-peter.Mountaineye,-,2.44,180.43,-1.65
615.55@cob-passage-off-salt-peter.Mountaineye,-,3.10,212.49,81.45
615.55@cob-passage-off-salt-peter.Mountaineye,-,0.92,103.51,-66.05
615.55@cob-passage-off-salt-peter.Mountaineye,-,2.00,163.50,-4.46
615.55@cob-passage-off-salt-peter.Mountaineye,-,2.37,182.42,-5.59
615.55@cob-passage-off-salt-peter.Mountaineye,-,2.01,214.71,-7.06
615.55@cob-passage-off-salt-peter.Mountaineye,-,0.99,111.95,26.24
615.55@cob-passage-off-salt-peter.Mountaineye,615.56@cob-passage-off-salt-peter.Mountaineye,2.60,59.33,56.74
615.56@cob-passage-off-salt-peter.Mountaineye,-,1.05,170.04,5.25
615.56@cob-passage-off-salt-peter.Mountaineye,-,3.01,146.89,47.85
615.56@cob-passage-off-salt-peter.Mountaineye,-,1.06,259.11,-86.13
615.56@cob-passage-off-salt-peter.Mountaineye,-,2.55,266.87,-82.17
615.56@cob-passage-off-salt-peter.Mountaineye,-,3.22,153.11,31.35
615.56@cob-passage-off-salt-peter.Mountaineye,615.57@cob-passage-off-salt-peter.Mountaineye,4.03,153.09,31.23
615.57@cob-passage-off-salt-peter.Mountaineye,-,0.60,359.05,77.05
615.57@cob-passage-off-salt-peter.Mountaineye,-,1.08,273.37,-73.72
615.57@cob-passage-off-salt-peter.Mountaineye,-,1.48,314.33,-22.51
615.57@cob-passage-off-salt-peter.Mountaineye,-,2.03,346.39,-23.26
615.57@cob-passage-off-salt-peter.Mountaineye,-,3.16,21.12,8.95
615.57@cob-passage-off-salt-peter.Mountaineye,-,0.61,42.41,7.96
615.51@cob-passage-off-salt-peter.Mountaineye,615.58@cob-passage-off-salt-peter.Mountaineye,5.74,243.19,-16.44
615.58@cob-passage-off-salt-peter.Mountaineye,615.59@cob-passage-off-salt-peter.Mountaineye,12.74,346.00,4.89
615.59@cob-passage-off-salt-peter.Mountaineye,-,6.04,136.03,8.68
615.59@cob-passage-off-salt-peter.Mountaineye,-,7.65,168.94,1.76
615.59@cob-passage-off-salt-peter.Mountaineye,-,5.72,127.87,8.64
615.59@cob-passage-off-salt-peter.Mountaineye,-,3.05,99.82,4.84
615.59@cob-passage-off-salt-peter.Mountaineye,-,7.01,57.82,-6.25
615.59@cob-passage-off-salt-peter.Mountaineye,-,6.02,41.68,4.87
615.59@cob-passage-off-salt-peter.Mountaineye,-,2.21,356.75,-0.87
615.59@cob-passage-off-salt-peter.Mountaineye,-,2.45,314.72,0.33
615.59@cob-passage-off-salt-peter.Mountaineye,-,2.10,207.73,-81.00
615.59@cob-passage-off-salt-peter.Mountaineye,-,0.63,83.39,57.77
601.2@First-guano.Mountaineye,-,0.00,353.73,0.00
601.2@First-guano.Mountaineye,-,5.65,315.65,-2.63
601.2@First-guano.Mountaineye,-,6.04,19.11,-0.51
601.2@First-guano.Mountaineye,-,3.03,224.14,13.47
601.2@First-guano.Mountaineye,-,4.05,296.86,-28.36
601.2@First-guano.Mountaineye,-,5.38,8.75,-25.94
601.2@First-guano.Mountaineye,-,2.23,320.00,-39.93
601.2@First-guano.Mountaineye,-,5.88,58.58,6.69
601.2@First-guano.Mountaineye,-,6.09,139.65,0.23
601.2@First-guano.Mountaineye,-,4.09,289.08,3.78
601.2@First-guano.Mountaineye,-,5.32,299.53,1.40
601.2@First-guano.Mountaineye,-,2.13,317.10,-38.52
601.2@First-guano.Mountaineye,601.3@First-guano.Mountaineye,6.75,294.60,3.82
601.3@First-guano.Mountaineye,-,1.87,95.75,-0.41
601.3@First-guano.Mountaineye,-,2.60,122.17,-1.80
601.3@First-guano.Mountaineye,-,1.95,170.59,5.99
601.3@First-guano.Mountaineye,-,1.86,141.75,3.88
601.3@First-guano.Mountaineye,-,0.89,45.65,-4.07
601.3@First-guano.Mountaineye,601.4@First-guano.Mountaineye,3.85,354.13,-0.26
601.4@First-guano.Mountaineye,-,1.83,158.26,2.43
601.4@First-guano.Mountaineye,-,3.44,207.05,4.56
601.4@First-guano.Mountaineye,-,0.18,156.18,85.21
601.4@First-guano.Mountaineye,-,0.51,142.49,-74.06
601.4@First-guano.Mountaineye,-,1.93,86.16,-11.66
601.4@First-guano.Mountaineye,-,6.75,248.98,3.67
601.4@First-guano.Mountaineye,-,5.21,223.76,3.08
601.4@First-guano.Mountaineye,601.5@First-guano.Mountaineye,5.14,231.03,-1.11
601.5@First-guano.Mountaineye,-,1.40,178.77,13.84
601.5@First-guano.Mountaineye,-,2.14,322.36,2.83
601.5@First-guano.Mountaineye,-,1.55,268.89,-71.94
601.5@First-guano.Mountaineye,-,0.77,269.78,74.27
601.5@First-guano.Mountaineye,-,8.57,211.65,1.32
601.5@First-guano.Mountaineye,-,4.11,198.37,-2.09
601.5@First-guano.Mountaineye,-,3.31,276.13,-1.40
601.5@First-guano.Mountaineye,-,10.34,229.65,-20.08
601.5@First-guano.Mountaineye,-,11.21,253.29,-17.08
601.5@First-guano.Mountaineye,-,7.33,255.95,-29.09
601.5@First-guano.Mountaineye,-,8.65,225.11,-24.58
601.5@First-guano.Mountaineye,601.6@First-guano.Mountaineye,13.45,223.15,-2.29
601.6@First-guano.Mountaineye,-,1.30,64.54,77.49
601.6@First-guano.Mountaineye,-,2.74,69.76,17.94
601.6@First-guano.Mountaineye,-,1.52,269.63,25.25
601.6@First-guano.Mountaineye,-,1.06,324.69,-66.12
601.6@First-guano.Mountaineye,-,8.35,350.17,-4.59
601.6@First-guano.Mountaineye,-,5.63,336.99,-4.56
601.6@First-guano.Mountaineye,-,10.31,14.44,2.94
601.6@First-guano.Mountaineye,-,7.15,59.77,3.38
601.6@First-guano.Mountaineye,-,11.32,34.56,-9.59
601.6@First-guano.Mountaineye,-,8.70,12.85,-24.48
601.6@First-guano.Mountaineye,-,4.25,26.31,-41.07
601.6@First-guano.Mountaineye,-,9.36,353.89,-32.75
601.6@First-guano.Mountaineye,-,5.44,351.71,-31.49
601.6@First-guano.Mountaineye,-,9.98,137.48,7.61
601.6@First-guano.Mountaineye,-,6.17,120.23,5.15
601.6@First-guano.Mountaineye,-,6.67,152.99,10.09
601.6@First-guano.Mountaineye,-,3.90,101.59,6.32
601.6@First-guano.Mountaineye,601.7@First-guano.Mountaineye,11.78,141.84,5.20
601.7@First-guano.Mountaineye,-,2.62,31.37,3.55
601.7@First-guano.Mountaineye,-,0.35,166.01,85.13
601.7@First-guano.Mountaineye,-,0.66,220.41,1.82
601.7@First-guano.Mountaineye,-,1.43,62.36,-33.73
